reviewer_id,product_id,text,text_score,collusion_score,temporal_score,campaign_type,is_generated
SYNTH_C159_R05,B003D8ZT0C,"Finally tackled the messy cables in my living room! This organizer has super sticky pads that easily attach to my desk. It keeps everything neat, though I wish it was a bit bigger for my charger cords. Overall, pretty happy with it! Definitely made a difference.",0.9999976,0.4780693016482868,0.7538446189516906,B,1
SYNTH_C164_R03,B0C6RF9QQG,"Finally found the perfect gaming headset! The sound quality is absolutely incredible, and the mic picks up my voice crystal clear. The cable is nice and long too so I can move around without yanking it. Super comfy to wear for hours. Way better than my old headset and honestly can't beat the price. Highly recommend this to anyone!",0.9999976,0.4780693016482868,0.0,B,1
SYNTH_C149_R06,B07L566W4T,"This power bank is seriously impressive! The build quality feels top-notch, and the matte finish gives it a nice grip. I love that it has two USB ports for charging multiple devices at once. Perfect for road trips or camping—no more worrying about my phone dying!",0.9999974,0.6828312064101916,0.7538446189516906,B,1
SYNTH_C162_R05,B06XCDCB7V,"Absolutely impressed with this soundbar! The build quality is top-notch, with a sturdy metal grille that feels really premium. Connection ports are well-placed, making it easy to hook up my devices. The sound clarity is amazing, and it fits perfectly under my TV. Highly recommend for anyone upgrading their home theater!",0.9999976,0.8131342367132219,0.8566041612373388,B,1
SYNTH_C171_R03,B08FFLZGDJ,"After trying several mics, this one really impressed me! The sound clarity is on another level compared to my old lapel mic. Plus, the plug-and-play feature made setup a breeze. It captures my voice perfectly, even in noisy environments. Definitely a solid upgrade!",0.9999968,0.6828312064101916,0.8608821514390974,B,1
SYNTH_C184_R00,B089W8C2WM,"The HD webcam delivers clear video quality during calls, and the built-in microphone is surprisingly good. Just wish the cord was a bit longer for more flexible placement.",0.9999963,0.9695299974953796,0.8486545755034374,C,1
SYNTH_C173_R01,B07BKZN6S9,"Absolutely impressed with this curved monitor! The build quality feels premium, with a solid metal stand that doesn’t wobble at all. The curved screen really enhances my gaming experience, and the colors pop beautifully. Definitely worth the investment for anyone looking to upgrade their setup!",0.9999976,0.9695299974953796,0.7192475762982944,C,1
SYNTH_C185_R04,B09Y95LFZP,"Finally got a decent webcam that doesn't make me look like a potato. The 1080p picture is super clear and my coworkers can actually see my face during meetings now. No lag, easy to set up, just plugged it in and it worked. Way better than the grainy camera on my laptop. Definitely recommend it.",0.9999974,0.9695299974953796,0.7192475762982944,C,1
SYNTH_C185_R03,B08BPD8NHP,"These noise cancelling earbuds are a game changer! The sound quality is incredible, and I love the comfortable fit. Even when there's chaos around me, these keep everything blissfully quiet. Using them during my workouts has been a whole new experience. Highly recommend for anyone needing some peace and quiet!",0.9999975,0.9695299974953796,0.7192475762982944,C,1
SYNTH_C182_R01,B00WUI3O2Q,"This soundbar is fantastic! The build quality is impressive, with a sturdy metal grille that feels solid and durable. The sleek design fits perfectly with my TV setup. Plus, the sound clarity blows me away! It really adds depth to my shows and movies. Definitely worth the investment!",0.9999975,0.9695299974953796,0.8075079949129238,C,1
SYNTH_C223_R00,B00KF7PPY4,"Bought this soundbar hoping for an upgrade, but it’s a joke compared to my old one. The bass is almost nonexistent, and the dialogue sounds muffled. Plus, the remote is a pain; it never seems to sync right. Really disappointed – I expected way more for the price!",0.9999974,0.7133333333333333,0.9088821893042716,D,1
SYNTH_C216_R03,B0761MQNSM,"The idea of this cable organizer is great, and it definitely looks neat on the desk. However, the adhesive strips barely hold it in place, and my cables keep falling out. Kind of frustrating, honestly. Wish it was more reliable because when it works, it’s super handy!",0.9999975,0.5085714285714285,0.0,D,1
SYNTH_C200_R05,B013EKI2DY,"Totally disappointed with this charger. It arrived two days late and was just tossed in a flimsy envelope without any padding. The build feels cheap, and it barely charges my phone at all. Going to look for something more reliable.",0.99999714,0.6030769230769231,0.8368301615968953,D,1
SYNTH_C215_R07,B0B8J17B9L,"Total disappointment. The 1TB external SSD was supposed to be fast and reliable, but it keeps disconnecting randomly, making it impossible to trust for backing up important files.",0.999997,0.4266666666666666,0.8502325678121043,D,1
SYNTH_C219_R03,B097TBJYZR,"I’m extremely disappointed with this speaker! The sound quality is terrible—tinny and distorted even at low volumes. It keeps disconnecting from my phone too, making it completely unusable. I expected better for the price. I'm requesting a refund immediately; this product is not worth it!",0.006669411,0.8436363636363636,0.7538446189516906,D,1
